tensor,proj,stoc_len,halve,scramble,mse,rel_fro
L0.gate_proj,gate_proj,64,halve,off,0.00015884033928159624,0.11934172362089157
L0.gate_proj,gate_proj,64,halve,counter,7.409355021081865e-05,0.0815083459019661
L0.gate_proj,gate_proj,64,halve,bitrev,6.784948345739394e-05,0.07799830287694931
L0.gate_proj,gate_proj,48,full,off,0.0002934836666099727,0.1622197926044464
L0.gate_proj,gate_proj,48,full,counter,0.00012437028635758907,0.10560153424739838
L0.gate_proj,gate_proj,48,full,bitrev,0.00011558664118638262,0.1018042042851448
L0.gate_proj,gate_proj,48,halve,off,0.0002770346181932837,0.1576082408428192
L0.gate_proj,gate_proj,48,halve,counter,0.00012344960123300552,0.10520993173122406
L0.gate_proj,gate_proj,48,halve,bitrev,0.00011347948748152703,0.1008719876408577
L0.gate_proj,gate_proj,32,full,off,0.000827707233838737,0.2724270820617676
L0.gate_proj,gate_proj,32,full,counter,0.00025852079852484167,0.15225082635879517
L0.gate_proj,gate_proj,32,full,bitrev,0.00022981525398790836,0.143549382686615
L0.gate_proj,gate_proj,32,halve,off,0.0007922709337435663,0.2665316164493561
L0.gate_proj,gate_proj,32,halve,counter,0.0002572687226347625,0.15188167989253998
L0.gate_proj,gate_proj,32,halve,bitrev,0.00022744890884496272,0.14280842244625092
L0.gate_proj,gate_proj,16,full,off,0.003875375958159566,0.5894796252250671
L0.gate_proj,gate_proj,16,full,counter,0.0008535305387340486,0.2766440808773041
L0.gate_proj,gate_proj,16,full,bitrev,0.0007163810660131276,0.2534451186656952
L0.gate_proj,gate_proj,16,halve,off,0.0038100818637758493,0.5844926238059998
L0.gate_proj,gate_proj,16,halve,counter,0.0008514453074894845,0.2763059735298157
L0.gate_proj,gate_proj,16,halve,bitrev,0.0007084611570462584,0.2520402669906616
L0.k_proj,k_proj,256,full,off,0.0008907048613764346,0.02069762907922268
L0.k_proj,k_proj,256,full,counter,0.0008907048613764346,0.02069762907922268
L0.k_proj,k_proj,256,full,bitrev,0.0008907048613764346,0.02069762907922268
L0.k_proj,k_proj,256,halve,off,0.000739607319701463,0.018860546872019768
L0.k_proj,k_proj,256,halve,counter,0.00013677007518708706,0.00811053067445755
